ceny;Kódy;;;;;;;
11||Škola, jazyk a literatura na počátku nového tisíciletí 2012-2013 (konference) (2013 : Ústí nad Labem, Česko);;;;;;;;
11||Mezinárodní sjezd slavistů (sjezd) (5. : 1963 : Sofie, Bulharsko) OPRAVA UCL;61127  	|a Mezinárodní sjezd slavistů |n (5. : |d 1963 : |c Sofie, Bulharsko) |7 mzk2009483065;;;;;;;
11||Festival spisovatelů (8. : 1998 : Praha, Česko) OPRAVA UCL;61127  	|a Festival spisovatelů Praha |n (8. : |d 1998 : |c Praha, Česko) |7 ko2004252601;;;;;;;
10||Bílá vrána (soutěž);;;;;;;;
10||Rilke heute (2011 : Bratislava : Slovensko);;;;;;;;
10||Cena křepelek;61124 |a  Novinářská křepelka;61124 |a  Novinářská křepelka (ocenění);;;;;;
10||Colloquium Comenianum Hunno Brodense (konference) (1975 : Uherský Brod, Česko);;;;;;;;
10||Úděl, únos, únik...? (debata);;;;;;;;
10||Cena Eduarda Fikera;61124 |a  Cena Eduarda Fikera (ocenění);;;;;;;
10||Sjezd Svazu slovenských spisovatelů (3. : 1977 : Bratislava, Slovensko) OPRAVA UCL;61124 2 |a  Svazu slovenských spisovatelů. |b Sjezd |n (3 : |d 1977 : |c Bratislav, Slovensko);;;;;;;
10||Cena ministerstva kultury;61124 |a  Cena Ministerstva kultury (ocenění);;;;;;;
10||Fantastická povídka (soutěž);;;;;;;;
10||Magnesia Litera (ocenění) OPRAVA UCL;61127  	|a Magnesia Litera (akce) |7 ko2007396129;;;;;;;
