BUREŠ, Miloslav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=989;* 6. 11. 1909;Polička;† 12. 11. 1968;Praha
BURIAN, Emil František;http://slovnikceskeliteratury.cz/showContent.jsp?docId=267;* 11. 6. 1904;Plzeň;† 9. 8. 1959;Praha
BURIAN, Jan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=34;* 26. 3. 1952;Praha;;
BURIÁNEK, František;http://slovnikceskeliteratury.cz/showContent.jsp?docId=354;* 17. 1. 1917;Rokycany;† 11. 7. 1995;Praha
CACH, Vojtěch;http://slovnikceskeliteratury.cz/showContent.jsp?docId=268;* 7. 8. 1914;Vídeň;† 30. 9. 1980;Praha
CALÁBEK, Milan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=269;* 7. 11. 1940;Kladno;;
CCC BOOKS;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1700;1971 - 1977;;;
CCC HAARLEM;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1701;1975 - 1978;;;
CESTY K DNEŠKU;http://slovnikceskeliteratury.cz/showContent.jsp?docId=76;1964 - 1966;;;
CIBULA, Václav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=680;* 7. 11. 1925;Slaný;† 4. 6. 2009;Praha
CIMICKÝ, Jan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1213;* 23. 2. 1948;Praha;;
CINCIBUCH, Petr;http://slovnikceskeliteratury.cz/showContent.jsp?docId=990;* 28. 6. 1943;Praha;;
CÍSAŘ, Jan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=270;* 28. 1. 1932;Hradec Králové;;
CONCORDIA;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1798;1990 - (dosud);;;
CRAMERIUS;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1702;1985 - 1990;;;
CVEJN, Karel;http://slovnikceskeliteratury.cz/showContent.jsp?docId=355;* 23. 7. 1911;Solnice (u Rychnova nad Kněžnou);† 16. 12. 1986;Praha
CVEK, Dušan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=991;* 8. 6. 1926;Brno;† 26. 5. 2013;Krnov
ČAPEK, Jan Blahoslav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=356;* 6. 11. 1903;Třebechovice pod Orebem;† 10. 9. 1982;Praha
ČAREK, Jan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=681;* 29. 12. 1898;Heřmaň (u Písku);† 27. 3. 1966;Praha
ČECH, Pavel;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1920;* 5. 11. 1968;Brno;;
ČEJKA, Jaroslav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=992;* 26. 10. 1943;Praha;;
ČEP, Jan;http://slovnikceskeliteratury.cz/showContent.jsp?docId=296;* 31. 12. 1902;Myšlichovice (dnes Haňovice-Myslechovice u Litovle);† 25. 1. 1974;Paříž (Francie)
ČEPELKA, Miloň;http://slovnikceskeliteratury.cz/showContent.jsp?docId=993;* 23. 9. 1936;Pohoří (u Opočna);;
ČEREPKOVÁ, Vladimíra;http://slovnikceskeliteratury.cz/showContent.jsp?docId=994;* 4. 2. 1946;Praha;† 11. 8. 2013;Saint Valéry en Caux (Normandie)
ČERNÁ, Jana;http://slovnikceskeliteratury.cz/showContent.jsp?docId=297;* 14. 8. 1928;Praha;† 5. 1. 1981;Praha
ČERNÍK, Lubomír;http://slovnikceskeliteratury.cz/showContent.jsp?docId=276;* 9. 10. 1924;Brno;† 3. 10. 1978;Brno
ČERNÍK, Michal;http://slovnikceskeliteratury.cz/showContent.jsp?docId=995;* 28. 2. 1943;Čelákovice;;
ČERNOCH, Otakar;http://slovnikceskeliteratury.cz/showContent.jsp?docId=277;* 23. 10. 1907;Znojmo;† 9. 6. 1967;Praha
ČERNÝ, František;http://slovnikceskeliteratury.cz/showContent.jsp?docId=278;* 21. 2. 1926;Jaroměř;† 12. 6. 2010;Praha
ČERNÝ, Jindřich;http://slovnikceskeliteratury.cz/showContent.jsp?docId=279;* 20. 6. 1930;Čáslav;† 20. 10. 2020;Praha
ČERNÝ, Rudolf;http://slovnikceskeliteratury.cz/showContent.jsp?docId=298;* 12. 12. 1920;Praha;† 4. 2. 1982;Přerov nad Labem
ČERNÝ, Václav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=357;* 26. 3. 1905;Jizbice (u Náchoda);† 2. 7. 1987;Praha
ČERVENKA, Miroslav;http://slovnikceskeliteratury.cz/showContent.jsp?docId=358;* 5. 11. 1932;Praha;† 19. 11. 2005;Praha
ČERVENKOVÁ, Jana;http://slovnikceskeliteratury.cz/showContent.jsp?docId=1214;* 18. 1. 1939;Praha;;
ČERVENÝ KVĚT;http://slovnikceskeliteratury.cz/showContent.jsp?docId=78;1956 - 1969;;;
