Hodnota CLO;Počet v.;Hodnota AUT;Šestý pád pro 678;Název pro 370 s ind.1;Podpole F;Najít údaj v ();Najít název města v A;Název města v C;Porovnání město A:C
Čičenice (Strakonice);1;Číčenice (Česko)$$7ge131733;;;;Strakonice;Čičenice;Číčenice;NEPRAVDA
Čičov (Plzeň jih);2;Číčov (Spálené Poříčí, Česko)$$7ge339022;;;;Plzeň jih;Čičov;Číčov;NEPRAVDA
Čížkov u Pelhřimova (Pelhřimov);1;Čížkov (Pelhřimov, Česko)$$7ge116112;;;;Pelhřimov;Čížkov u Pelhřimova;Čížkov;NEPRAVDA
Dačice asi (Jindřichův Hradec);1;Dačice (Česko)$$7ge128992;;;;Jindřichův Hradec;Dačice asi;Dačice;NEPRAVDA
Dachau k.t. (Německo);1;Dachau (Německo)$$7ge540923;;;;Německo;Dachau k.t.;Dachau;NEPRAVDA
Dachau k.t. (Spolková republ. Německo);8;Dachau (Německo)$$7ge540923;;;;Spolková republ. Německo;Dachau k.t.;Dachau;NEPRAVDA
Dachau, k.t. (Spolková republ. Německo);1;Dachau (Německo)$$7ge540923;;;;Spolková republ. Německo;Dachau, k.t.;Dachau;NEPRAVDA
Darkov (Karviná);2;Lázně Darkov (Karviná, Česko)$$7ge138380;;;;Karviná;Darkov;Lázně Darkov;NEPRAVDA
Ďarmoty (Balassagyarmat) (Maďarsko);1;Balassagyarmat (Maďarsko)$$7ge766642;;;;Balassagyarmat;Ďarmoty;Balassagyarmat;NEPRAVDA
Darmschlag (Tachov);1;Darmyšl (Staré Sedlo, Tachov, Česko)$$7ge571849;;;;Tachov;Darmschlag;Darmyšl;NEPRAVDA
